Country,Climate change: (1/1/04 - 9/27/21),Global Warming: (1/1/04 - 9/27/21),dt,AverageTemperature,AverageTemperatureUncertainty
Afghanistan,68%,32%,1997-07-01,28.533,0.41
Albania,75%,25%,1757-07-01,25.843000000000004,5.336
Algeria,86%,14%,2003-07-01,35.829,0.4
American Samoa,100%,,2003-01-01,28.543000000000003,0.231
Andorra,,,2003-08-01,24.313,0.291
Angola,100%,,2005-10-01,25.17,0.826
Anguilla,,,2005-09-01,29.636,0.246
Argentina,72%,28%,2012-01-01,23.29,0.333
Armenia,75%,25%,2006-08-01,25.291,0.254
Aruba,100%,,2009-09-01,30.792,0.285
Australia,73%,27%,2013-01-01,29.861,0.176
Austria,75%,25%,1992-08-01,20.081,0.18
Azerbaijan,77%,23%,2006-08-01,26.676,0.4320000000000001
Bahamas,67%,33%,1798-08-01,30.176,3.684
Bahrain,62%,38%,2012-07-01,37.471,0.5539999999999999
Bangladesh,70%,30%,1979-05-01,29.794,0.5
Barbados,71%,29%,2005-09-01,29.045,0.189
Belarus,67%,33%,2010-07-01,22.811,0.304
Belgium,78%,22%,2006-07-01,22.837,0.243
Belize,66%,34%,1980-05-01,28.915,0.7759999999999999
Benin,100%,,2010-03-01,31.717,0.474
Bhutan,67%,33%,2009-07-01,19.312,0.426
Bolivia,61%,39%,2008-11-01,24.508000000000003,0.545
Botswana,68%,32%,1972-12-01,28.860000000000007,0.312
Brazil,79%,21%,2009-11-01,27.151,0.246
British Virgin Islands,,,2005-09-01,29.327,0.176
Bulgaria,64%,36%,2012-07-01,25.063,0.627
Burkina Faso,80%,20%,1998-04-01,33.666,0.136
Burundi,83%,17%,1997-09-01,22.697,0.356
Cambodia,72%,28%,1998-04-01,30.43,0.196
Cameroon,75%,25%,2010-04-01,27.722,0.813
Canada,70%,30%,2012-07-01,14.796,0.261
Cape Verde,,,2001-09-01,28.415,0.479
Cayman Islands,67%,33%,2009-07-01,30.188,0.273
Central African Republic,,,2005-02-01,29.871,1.053
Chad,100%,,1998-05-01,33.415,0.665
Chile,72%,28%,1983-01-01,15.493,0.222
